Moderna,Close,Gold,Close,Ethereum,Close,Bitcoin,Close,Crude Oil,Close,"Digital Realty Trust, Inc",Close,Nike,Close,"Overstock, Inc",Close
2/25/2022 16:00:00,151.33,2/25/2022 16:00:00,22.56,2/23/2022 17:26:00,4.69,2/25/2022 16:00:00,77.84,2/25/2022 16:00:00,77.84,2/25/2022 16:00:00,137.9,2/25/2022 16:00:00,138.8,2/25/2022 16:00:00,53.98
2/28/2022 16:00:00,153.6,2/28/2022 16:00:00,22.57,2/24/2022 17:26:00,4.5,2/28/2022 16:00:00,78.42,2/28/2022 16:00:00,78.42,2/28/2022 16:00:00,134.92,2/28/2022 16:00:00,136.55,2/28/2022 16:00:00,56.9
3/1/2022 16:00:00,149.52,3/1/2022 16:00:00,23.46,2/25/2022 17:26:00,4.75,3/1/2022 16:00:00,79.17,3/1/2022 16:00:00,79.17,3/1/2022 16:00:00,134.12,3/1/2022 16:00:00,132.22,3/1/2022 16:00:00,55.15
3/2/2022 16:00:00,147.86,3/2/2022 16:00:00,23.15,2/28/2022 17:26:00,4.72,3/2/2022 16:00:00,80.53,3/2/2022 16:00:00,80.53,3/2/2022 16:00:00,135.31,3/2/2022 16:00:00,135.68,3/2/2022 16:00:00,55.97
3/3/2022 16:00:00,141.52,3/3/2022 16:00:00,23.57,3/1/2022 17:26:00,4.56,3/3/2022 16:00:00,81.04,3/3/2022 16:00:00,81.04,3/3/2022 16:00:00,137.24,3/3/2022 16:00:00,133.97,3/3/2022 16:00:00,52.31
3/4/2022 16:00:00,136.46,3/4/2022 16:00:00,24.2,3/2/2022 17:26:00,4.66,3/4/2022 16:00:00,84.09,3/4/2022 16:00:00,84.09,3/4/2022 16:00:00,139.24,3/4/2022 16:00:00,131.18,3/4/2022 16:00:00,51.55
3/7/2022 16:00:00,126.46,3/7/2022 16:00:00,24.86,3/3/2022 17:26:00,4.43,3/7/2022 16:00:00,87.12,3/7/2022 16:00:00,87.12,3/7/2022 16:00:00,136.12,3/7/2022 16:00:00,124.44,3/7/2022 16:00:00,50.63
3/8/2022 16:00:00,129.28,3/8/2022 16:00:00,25.36,3/4/2022 17:26:00,4,3/8/2022 16:00:00,87.78,3/8/2022 16:00:00,87.78,3/8/2022 16:00:00,133.49,3/8/2022 16:00:00,121.21,3/8/2022 16:00:00,52.11
3/9/2022 16:00:00,142.49,3/9/2022 16:00:00,24.33,3/7/2022 17:26:00,3.96,3/9/2022 16:00:00,82.79,3/9/2022 16:00:00,82.79,3/9/2022 16:00:00,135.45,3/9/2022 16:00:00,126.95,3/9/2022 16:00:00,51.57
3/10/2022 16:00:00,139.52,3/10/2022 16:00:00,24.49,3/8/2022 17:26:00,3.88,3/10/2022 16:00:00,85.36,3/10/2022 16:00:00,85.36,3/10/2022 16:00:00,135.29,3/10/2022 16:00:00,126.03,3/10/2022 16:00:00,49.78
3/11/2022 16:00:00,138.2,3/11/2022 16:00:00,24.35,3/9/2022 17:26:00,4.3,3/11/2022 16:00:00,84.92,3/11/2022 16:00:00,84.92,3/11/2022 16:00:00,135.68,3/11/2022 16:00:00,122.63,3/11/2022 16:00:00,44.78
3/14/2022 16:00:00,150.07,3/14/2022 16:00:00,23.64,3/10/2022 17:26:00,4.13,3/14/2022 16:00:00,81.88,3/14/2022 16:00:00,81.88,3/14/2022 16:00:00,132.59,3/14/2022 16:00:00,117.57,3/14/2022 16:00:00,43.4
3/15/2022 16:00:00,148.12,3/15/2022 16:00:00,23.77,3/11/2022 17:26:00,4.27,3/15/2022 16:00:00,77.22,3/15/2022 16:00:00,77.22,3/15/2022 16:00:00,135.15,3/15/2022 16:00:00,119.4,3/15/2022 16:00:00,45.31
3/16/2022 16:00:00,169.36,3/16/2022 16:00:00,23.61,3/14/2022 17:26:00,4.32,3/16/2022 16:00:00,76.93,3/16/2022 16:00:00,76.93,3/16/2022 16:00:00,136.07,3/16/2022 16:00:00,125.19,3/16/2022 16:00:00,48.49
3/17/2022 16:00:00,168.26,3/17/2022 16:00:00,24.08,3/15/2022 17:26:00,4.22,3/17/2022 16:00:00,78.98,3/17/2022 16:00:00,78.98,3/17/2022 16:00:00,138.22,3/17/2022 16:00:00,127.41,3/17/2022 16:00:00,52.09
3/18/2022 16:00:00,178.93,3/18/2022 16:00:00,23.87,3/16/2022 17:26:00,4.12,3/18/2022 16:00:00,78.67,3/18/2022 16:00:00,78.67,3/18/2022 16:00:00,138.99,3/18/2022 16:00:00,131.24,3/18/2022 16:00:00,52.32
3/21/2022 16:00:00,175.38,3/21/2022 16:00:00,24.3,3/17/2022 17:26:00,4.17,3/21/2022 16:00:00,82.2,3/21/2022 16:00:00,82.2,3/21/2022 16:00:00,137.18,3/21/2022 16:00:00,130.19,3/21/2022 16:00:00,48.78
3/22/2022 16:00:00,186.72,3/22/2022 16:00:00,24.23,3/18/2022 17:26:00,4.16,3/22/2022 16:00:00,81.84,3/22/2022 16:00:00,81.84,3/22/2022 16:00:00,138.42,3/22/2022 16:00:00,133.09,3/22/2022 16:00:00,50.6
3/23/2022 16:00:00,178.73,3/23/2022 16:00:00,24.57,3/21/2022 17:26:00,4.07,3/23/2022 16:00:00,83.13,3/23/2022 16:00:00,83.13,3/23/2022 16:00:00,136.65,3/23/2022 16:00:00,133,3/23/2022 16:00:00,49
3/24/2022 16:00:00,179.68,3/24/2022 16:00:00,24.5,3/22/2022 17:26:00,4.1,3/24/2022 16:00:00,83.38,3/24/2022 16:00:00,83.38,3/24/2022 16:00:00,137.65,3/24/2022 16:00:00,132.08,3/24/2022 16:00:00,49.33
3/25/2022 16:00:00,165.92,3/25/2022 16:00:00,24.54,3/23/2022 17:26:00,4,3/25/2022 16:00:00,85.2,3/25/2022 16:00:00,85.2,3/25/2022 16:00:00,138.23,3/25/2022 16:00:00,133.7,3/25/2022 16:00:00,46.83
3/28/2022 16:00:00,173.08,3/28/2022 16:00:00,24.23,3/24/2022 17:26:00,3.97,3/28/2022 16:00:00,82.81,3/28/2022 16:00:00,82.81,3/28/2022 16:00:00,140.89,3/28/2022 16:00:00,134.81,3/28/2022 16:00:00,47.43
3/29/2022 16:00:00,180.64,3/29/2022 16:00:00,24.53,3/25/2022 17:26:00,3.96,3/29/2022 16:00:00,82.37,3/29/2022 16:00:00,82.37,3/29/2022 16:00:00,144.71,3/29/2022 16:00:00,139.14,3/29/2022 16:00:00,51.7
3/30/2022 16:00:00,174.92,3/30/2022 16:00:00,24.85,3/28/2022 17:26:00,3.93,3/30/2022 16:00:00,83.78,3/30/2022 16:00:00,83.78,3/30/2022 16:00:00,144.16,3/30/2022 16:00:00,138.54,3/30/2022 16:00:00,46.72
3/31/2022 16:00:00,172.26,3/31/2022 16:00:00,24.53,3/29/2022 17:26:00,4.04,3/31/2022 16:00:00,82.59,3/31/2022 16:00:00,82.59,3/31/2022 16:00:00,141.8,3/31/2022 16:00:00,134.56,3/31/2022 16:00:00,44.01
4/1/2022 16:00:00,176.59,4/1/2022 16:00:00,24.94,3/30/2022 17:26:00,4.03,4/1/2022 16:00:00,83.12,4/1/2022 16:00:00,83.12,4/1/2022 16:00:00,145.9,4/1/2022 16:00:00,133.52,4/1/2022 16:00:00,43.01
4/4/2022 16:00:00,172.54,4/4/2022 16:00:00,24.86,3/31/2022 17:26:00,3.84,4/4/2022 16:00:00,83.16,4/4/2022 16:00:00,83.16,4/4/2022 16:00:00,146.55,4/4/2022 16:00:00,134.34,4/4/2022 16:00:00,43.9
4/5/2022 16:00:00,162.05,4/5/2022 16:00:00,24.46,4/1/2022 17:26:00,3.75,4/5/2022 16:00:00,82.73,4/5/2022 16:00:00,82.73,4/5/2022 16:00:00,146.41,4/5/2022 16:00:00,132.3,4/5/2022 16:00:00,42.88
4/6/2022 16:00:00,154.62,4/6/2022 16:00:00,24.61,4/4/2022 17:26:00,3.69,4/6/2022 16:00:00,83.65,4/6/2022 16:00:00,83.65,4/6/2022 16:00:00,149.07,4/6/2022 16:00:00,128.36,4/6/2022 16:00:00,40.66
4/7/2022 16:00:00,159,4/7/2022 16:00:00,24.9,4/5/2022 17:26:00,3.67,4/7/2022 16:00:00,85.05,4/7/2022 16:00:00,85.05,4/7/2022 16:00:00,148.17,4/7/2022 16:00:00,129.38,4/7/2022 16:00:00,40.81
