Moderna,Close,Gold,Close,Ethereum,Close,Bitcoin,Close,Crude Oil,Close,"Digital Realty Trust, Inc",Close,Nike,Close,"Overstock, Inc",Close
1/16/2020 16:00:00,21.01,1/16/2020 16:00:00,18.09,1/16/2020 17:26:00,7.89,1/20/2020 16:00:00,0.18,1/16/2020 16:00:00,68.82,1/16/2020 16:00:00,123.67,1/16/2020 16:00:00,103.37,1/16/2020 16:00:00,8.54
1/17/2020 16:00:00,20.62,1/17/2020 16:00:00,17.95,1/17/2020 17:26:00,7.89,1/21/2020 16:00:00,0.18,1/17/2020 16:00:00,68.56,1/17/2020 16:00:00,124.44,1/17/2020 16:00:00,104.53,1/17/2020 16:00:00,8.53
1/21/2020 16:00:00,20.94,1/21/2020 16:00:00,18.35,1/20/2020 17:26:00,7.64,1/22/2020 16:00:00,0.18,1/21/2020 16:00:00,67.58,1/21/2020 16:00:00,125.73,1/21/2020 16:00:00,104.58,1/21/2020 16:00:00,9.01
1/22/2020 16:00:00,21.97,1/22/2020 16:00:00,18.29,1/21/2020 17:26:00,7.49,1/23/2020 16:00:00,0.18,1/22/2020 16:00:00,67.19,1/22/2020 16:00:00,126.28,1/22/2020 16:00:00,104.49,1/22/2020 16:00:00,8.75
1/23/2020 16:00:00,21.47,1/23/2020 16:00:00,18.43,1/22/2020 17:26:00,7.71,1/24/2020 16:00:00,0.18,1/23/2020 16:00:00,66.77,1/23/2020 16:00:00,127.11,1/23/2020 16:00:00,103.02,1/23/2020 16:00:00,8.28
1/24/2020 16:00:00,21.12,1/24/2020 16:00:00,18.71,1/23/2020 17:26:00,7.64,1/27/2020 16:00:00,0.12,1/24/2020 16:00:00,66.32,1/24/2020 16:00:00,128.26,1/24/2020 16:00:00,102.03,1/24/2020 16:00:00,8.06
1/27/2020 16:00:00,22.74,1/27/2020 16:00:00,18.62,1/24/2020 17:26:00,7.79,1/29/2020 16:00:00,0.12,1/27/2020 16:00:00,64.74,1/27/2020 16:00:00,129.02,1/27/2020 16:00:00,100.24,1/27/2020 16:00:00,7.82
1/28/2020 16:00:00,22.36,1/28/2020 16:00:00,18,1/27/2020 17:26:00,7.57,1/30/2020 16:00:00,0.18,1/28/2020 16:00:00,64.65,1/28/2020 16:00:00,129.82,1/28/2020 16:00:00,100.41,1/28/2020 16:00:00,8.02
1/29/2020 16:00:00,20.55,1/29/2020 16:00:00,18.37,1/28/2020 17:26:00,7.77,1/31/2020 16:00:00,0.12,1/29/2020 16:00:00,64.11,1/29/2020 16:00:00,127.63,1/29/2020 16:00:00,99.84,1/29/2020 16:00:00,8.27
1/30/2020 16:00:00,20.99,1/30/2020 16:00:00,18.44,1/29/2020 17:26:00,7.87,2/3/2020 16:00:00,0.06,1/30/2020 16:00:00,64.79,1/30/2020 16:00:00,125.74,1/30/2020 16:00:00,98.19,1/30/2020 16:00:00,8.29
1/31/2020 16:00:00,20.51,1/31/2020 16:00:00,18.52,1/30/2020 17:26:00,7.64,2/4/2020 16:00:00,0.12,1/31/2020 16:00:00,62.12,1/31/2020 16:00:00,122.99,1/31/2020 16:00:00,96.3,1/31/2020 16:00:00,8.12
2/3/2020 16:00:00,20.38,2/3/2020 16:00:00,18.28,1/31/2020 17:26:00,7.61,2/5/2020 16:00:00,0.18,2/3/2020 16:00:00,60.73,2/3/2020 16:00:00,123.14,2/3/2020 16:00:00,99.27,2/3/2020 16:00:00,7.9
2/4/2020 16:00:00,20.87,2/4/2020 16:00:00,18.02,2/3/2020 17:26:00,7.61,2/6/2020 16:00:00,0.18,2/4/2020 16:00:00,59.97,2/4/2020 16:00:00,124.99,2/4/2020 16:00:00,101.38,2/4/2020 16:00:00,7.9
2/5/2020 16:00:00,20.05,2/5/2020 16:00:00,18.02,2/4/2020 17:26:00,7.69,2/7/2020 16:00:00,0.24,2/5/2020 16:00:00,62.73,2/5/2020 16:00:00,123.86,2/5/2020 16:00:00,100.54,2/5/2020 16:00:00,8
2/6/2020 16:00:00,19.88,2/6/2020 16:00:00,18.35,2/5/2020 17:26:00,7.59,2/10/2020 16:00:00,0.18,2/6/2020 16:00:00,61.88,2/6/2020 16:00:00,124.02,2/6/2020 16:00:00,100.27,2/6/2020 16:00:00,8.41
2/7/2020 16:00:00,23.24,2/7/2020 16:00:00,18.19,2/6/2020 17:26:00,7.57,2/11/2020 16:00:00,0.24,2/7/2020 16:00:00,61.47,2/7/2020 16:00:00,123.28,2/7/2020 16:00:00,99.44,2/7/2020 16:00:00,8.32
2/10/2020 16:00:00,23.65,2/10/2020 16:00:00,18.43,2/7/2020 17:26:00,7.4,2/12/2020 16:00:00,0.18,2/10/2020 16:00:00,59.96,2/10/2020 16:00:00,126.08,2/10/2020 16:00:00,100.02,2/10/2020 16:00:00,8.27
2/11/2020 16:00:00,21.35,2/11/2020 16:00:00,18.44,2/10/2020 17:26:00,7.64,2/13/2020 16:00:00,0.24,2/11/2020 16:00:00,60.53,2/11/2020 16:00:00,125.52,2/11/2020 16:00:00,100.02,2/11/2020 16:00:00,8.61
2/12/2020 16:00:00,19.01,2/12/2020 16:00:00,18.41,2/11/2020 17:26:00,7.63,2/14/2020 16:00:00,0.24,2/12/2020 16:00:00,61.27,2/12/2020 16:00:00,127.05,2/12/2020 16:00:00,103,2/12/2020 16:00:00,9.18
2/13/2020 16:00:00,19.05,2/13/2020 16:00:00,18.93,2/12/2020 17:26:00,7.55,2/18/2020 16:00:00,0.18,2/13/2020 16:00:00,60.93,2/13/2020 16:00:00,126.53,2/13/2020 16:00:00,103.37,2/13/2020 16:00:00,8.99
2/14/2020 16:00:00,19,2/14/2020 16:00:00,19.72,2/13/2020 17:26:00,7.47,2/19/2020 16:00:00,0.18,2/14/2020 16:00:00,60.65,2/14/2020 16:00:00,131.5,2/14/2020 16:00:00,103.54,2/14/2020 16:00:00,9.03
2/18/2020 16:00:00,18.91,2/18/2020 16:00:00,20.58,2/14/2020 17:26:00,7.36,2/20/2020 16:00:00,0.18,2/18/2020 16:00:00,59.88,2/18/2020 16:00:00,133.2,2/18/2020 16:00:00,102,2/18/2020 16:00:00,8.8
2/19/2020 16:00:00,18.92,2/19/2020 16:00:00,21,2/17/2020 17:26:00,7.34,2/21/2020 16:00:00,0.18,2/19/2020 16:00:00,60.34,2/19/2020 16:00:00,132.41,2/19/2020 16:00:00,102.46,2/19/2020 16:00:00,9.01
2/20/2020 16:00:00,18.54,2/20/2020 16:00:00,20.77,2/18/2020 17:26:00,7.54,2/24/2020 16:00:00,0.18,2/20/2020 16:00:00,59.86,2/20/2020 16:00:00,136.3,2/20/2020 16:00:00,102.53,2/20/2020 16:00:00,9.15
2/21/2020 16:00:00,18.23,2/21/2020 16:00:00,21.44,2/19/2020 17:26:00,8.34,2/25/2020 16:00:00,0.18,2/21/2020 16:00:00,59.13,2/21/2020 16:00:00,138.13,2/21/2020 16:00:00,100.25,2/21/2020 16:00:00,9.26
2/24/2020 16:00:00,18.59,2/24/2020 16:00:00,22.03,2/20/2020 17:26:00,7.97,2/26/2020 16:00:00,0.12,2/24/2020 16:00:00,56.36,2/24/2020 16:00:00,135.27,2/24/2020 16:00:00,95.91,2/24/2020 16:00:00,9.22
2/25/2020 16:00:00,23.76,2/25/2020 16:00:00,21.25,2/21/2020 17:26:00,7.57,2/27/2020 16:00:00,0.12,2/25/2020 16:00:00,54.2,2/25/2020 16:00:00,133.54,2/25/2020 16:00:00,92.9,2/25/2020 16:00:00,7.84
2/26/2020 16:00:00,29.16,2/26/2020 16:00:00,21.09,2/24/2020 17:26:00,7.2,2/28/2020 16:00:00,0.12,2/26/2020 16:00:00,53.01,2/26/2020 16:00:00,130.38,2/26/2020 16:00:00,92,2/26/2020 16:00:00,7.49
2/27/2020 16:00:00,26.16,2/27/2020 16:00:00,19.78,2/25/2020 17:26:00,7.37,3/2/2020 16:00:00,0.12,2/27/2020 16:00:00,49.82,2/27/2020 16:00:00,123.19,2/27/2020 16:00:00,88.55,2/27/2020 16:00:00,6.9
2/28/2020 16:00:00,25.93,2/28/2020 16:00:00,19.04,2/26/2020 17:26:00,7.28,3/3/2020 16:00:00,0.12,2/28/2020 16:00:00,51.44,2/28/2020 16:00:00,120.11,2/28/2020 16:00:00,89.38,2/28/2020 16:00:00,6.46
3/2/2020 16:00:00,29.88,3/2/2020 16:00:00,19.86,2/27/2020 17:26:00,6.94,3/4/2020 16:00:00,0.12,3/2/2020 16:00:00,53.88,3/2/2020 16:00:00,130.49,3/2/2020 16:00:00,92.68,3/2/2020 16:00:00,6.06
3/3/2020 16:00:00,27.91,3/3/2020 16:00:00,20.62,2/28/2020 17:26:00,6.73,3/5/2020 16:00:00,0.12,3/3/2020 16:00:00,51.3,3/3/2020 16:00:00,129.59,3/3/2020 16:00:00,90.93,3/3/2020 16:00:00,6.06
3/4/2020 16:00:00,27.49,3/4/2020 16:00:00,20.55,3/2/2020 17:26:00,6.57,3/6/2020 16:00:00,0.18,3/4/2020 16:00:00,52.42,3/4/2020 16:00:00,134.98,3/4/2020 16:00:00,93.79,3/4/2020 16:00:00,6.38
3/5/2020 16:00:00,28.01,3/5/2020 16:00:00,21.16,3/3/2020 17:26:00,6.8,3/9/2020 16:00:00,0.18,3/5/2020 16:00:00,50.11,3/5/2020 16:00:00,129.87,3/5/2020 16:00:00,90.58,3/5/2020 16:00:00,6.37
3/6/2020 16:00:00,29.61,3/6/2020 16:00:00,21.23,3/4/2020 17:26:00,6.81,3/10/2020 16:00:00,0.18,3/6/2020 16:00:00,47.69,3/6/2020 16:00:00,128.24,3/6/2020 16:00:00,88.36,3/6/2020 16:00:00,5.98
3/9/2020 16:00:00,24.29,3/9/2020 16:00:00,19.93,3/5/2020 17:26:00,6.57,3/11/2020 16:00:00,0.18,3/9/2020 16:00:00,41.86,3/9/2020 16:00:00,120.67,3/9/2020 16:00:00,84.11,3/9/2020 16:00:00,4.94
3/10/2020 16:00:00,22.34,3/10/2020 16:00:00,19.87,3/6/2020 17:26:00,6.22,3/12/2020 16:00:00,0.12,3/10/2020 16:00:00,43.41,3/10/2020 16:00:00,134.45,3/10/2020 16:00:00,88.3,3/10/2020 16:00:00,5.28
3/11/2020 16:00:00,23.61,3/11/2020 16:00:00,18.79,3/9/2020 17:26:00,5.84,3/13/2020 16:00:00,0.12,3/11/2020 16:00:00,41.98,3/11/2020 16:00:00,137,3/11/2020 16:00:00,84,3/11/2020 16:00:00,4.54
3/12/2020 16:00:00,22.3,3/12/2020 16:00:00,16.88,3/10/2020 17:26:00,5.73,3/16/2020 16:00:00,0.12,3/12/2020 16:00:00,37.18,3/12/2020 16:00:00,128.37,3/12/2020 16:00:00,74.2,3/12/2020 16:00:00,3.41
3/13/2020 16:00:00,21.3,3/13/2020 16:00:00,15.67,3/11/2020 17:26:00,5.75,3/17/2020 16:00:00,0.06,3/13/2020 16:00:00,38.12,3/13/2020 16:00:00,143.34,3/13/2020 16:00:00,75.58,3/13/2020 16:00:00,3.23
